--------------------------------------------------
	TERMINOS 	por Juan Cardona
--------------------------------------------------
TERMINO - FRECUENCIA - DF:
que - 21475 - 1
de - 18298 - 1
y - 18188 - 1
la - 10363 - 1
a - 9823 - 1
el - 9488 - 1
en - 8241 - 1
no - 6335 - 1
se - 5078 - 1
los - 4748 - 1
con - 4202 - 1
por - 3940 - 1
las - 3468 - 1
lo - 3461 - 1
le - 3398 - 1
su - 3352 - 1
don - 2647 - 1
del - 2623 - 1
como - 2538 - 1
me - 2345 - 1
si - 2312 - 1
mas - 2284 - 1
mi - 2207 - 1
quijote - 2175 - 1
sancho - 2148 - 1
es - 2142 - 1
yo - 2077 - 1
un - 1938 - 1
dijo - 1808 - 1
al - 1740 - 1
para - 1463 - 1
porque - 1400 - 1
ni - 1376 - 1
una - 1339 - 1
tan - 1243 - 1
o - 1213 - 1
todo - 1180 - 1
esta - 1157 - 1
sin - 1156 - 1
asi - 1065 - 1
respondio - 1063 - 1
senor - 1063 - 1
ser - 1056 - 1
ha - 1052 - 1
bien - 1051 - 1
sus - 1049 - 1
habia - 1034 - 1
pero - 1014 - 1
merced - 900 - 1
quien - 888 - 1
esto - 886 - 1
pues - 865 - 1
vuestra - 852 - 1
todos - 817 - 1
este - 817 - 1
ya - 785 - 1
cuando - 777 - 1
era - 754 - 1
cual - 749 - 1
donde - 736 - 1
te - 726 - 1
sino - 694 - 1
dos - 684 - 1
caballero - 661 - 1
fue - 651 - 1
ella - 604 - 1
tu - 599 - 1
decir - 578 - 1
he - 537 - 1
muy - 535 - 1
hacer - 535 - 1
aquel - 534 - 1
dios - 531 - 1
aunque - 531 - 1
otra - 517 - 1
senora - 516 - 1
aqui - 516 - 1
otro - 511 - 1
son - 485 - 1
estaba - 478 - 1
hay - 471 - 1
os - 463 - 1
mal - 459 - 1
sobre - 454 - 1
nos - 450 - 1
cosa - 447 - 1
buen - 442 - 1
verdad - 432 - 1
tal - 428 - 1
alli - 421 - 1
tanto - 420 - 1
ver - 408 - 1
tengo - 402 - 1
mundo - 394 - 1
luego - 390 - 1
tiene - 389 - 1
entre - 389 - 1
mis - 388 - 1
hasta - 386 - 1
alguna - 385 - 1
poco - 380 - 1
todas - 374 - 1
dicho - 373 - 1
dar - 368 - 1
ahora - 366 - 1
parte - 363 - 1
buena - 363 - 1
aquella - 358 - 1
vida - 356 - 1
tenia - 350 - 1
uno - 350 - 1
han - 349 - 1
cosas - 347 - 1
les - 347 - 1
menos - 347 - 1
lugar - 345 - 1
aun - 343 - 1
gran - 340 - 1
soy - 336 - 1
eso - 335 - 1
casa - 334 - 1
panza - 329 - 1
manera - 328 - 1
tiempo - 327 - 1
digo - 323 - 1
toda - 320 - 1
cura - 313 - 1
estas - 312 - 1
puesto - 307 - 1
mano - 304 - 1
amo - 297 - 1
solo - 297 - 1
ellos - 295 - 1
mucho - 294 - 1
dio - 294 - 1
caballeros - 293 - 1
mejor - 293 - 1
antes - 291 - 1
fuera - 288 - 1
puede - 285 - 1
ojos - 285 - 1
visto - 285 - 1
sea - 284 - 1
algun - 283 - 1
dulcinea - 282 - 1
tierra - 274 - 1
dia - 274 - 1
otras - 273 - 1
hecho - 272 - 1
otros - 265 - 1
quiero - 260 - 1
padre - 259 - 1
hombre - 259 - 1
cuanto - 254 - 1
haber - 254 - 1
cielo - 252 - 1
habian - 251 - 1
historia - 249 - 1
amigo - 249 - 1
vio - 248 - 1
saber - 247 - 1
camino - 246 - 1
parece - 245 - 1
hizo - 243 - 1
estos - 243 - 1
escudero - 242 - 1
muchas - 242 - 1
tener - 242 - 1
dias - 240 - 1
manos - 239 - 1
desta - 238 - 1
fin - 234 - 1
tres - 234 - 1
tambien - 234 - 1
mujer - 226 - 1
dice - 225 - 1
sera - 222 - 1
cada - 221 - 1
mesmo - 219 - 1
cabeza - 215 - 1
cuenta - 214 - 1
nuestro - 213 - 1
vos - 212 - 1
punto - 211 - 1
noche - 211 - 1
replico - 210 - 1
veces - 207 - 1
fuese - 207 - 1
rocinante - 206 - 1
vuesa - 203 - 1
parecer - 202 - 1
duque - 200 - 1
muchos - 200 - 1
razones - 200 - 1
diciendo - 198 - 1
andante - 197 - 1
caballo - 197 - 1
despues - 196 - 1
