query	rank	doc	sim
1	1	25	0.001567
1	2	29	0.001490
1	3	36	0.001409
1	4	17	0.001130
1	5	32	0.000908
1	6	15	0.000902
1	7	5	0.000524
2	1	4	0.004311
2	2	21	0.003345
2	3	9	0.002336
2	4	38	0.002127
2	5	6	0.001517
2	6	14	0.001355
2	7	1	0.001353
2	8	29	0.001345
2	9	37	0.001069
2	10	19	0.000669
2	11	36	0.000434
3	1	34	0.002126
3	2	22	0.001301
3	3	35	0.001192
3	4	11	0.001190
3	5	27	0.001058
3	6	14	0.001011
3	7	32	0.000672
3	8	8	0.000661
3	9	20	0.000546
3	10	33	0.000525
3	11	24	0.000348
3	12	19	0.000261
3	13	2	0.000233
3	14	13	0.000231
4	1	35	0.002624
4	2	27	0.002328
4	3	30	0.000844
4	4	7	0.000697
4	5	13	0.000509
5	1	8	0.003266
5	2	18	0.001593
5	3	32	0.001583
5	4	10	0.001528
