query	rank	doc	sim
1	1	15	0.003288
1	2	36	0.002741
1	3	25	0.001845
1	4	29	0.001753
1	5	32	0.001069
1	6	5	0.000617
2	1	23	0.003497
2	2	4	0.002901
2	3	21	0.002251
2	4	9	0.001572
2	5	38	0.001431
2	6	12	0.001036
2	7	6	0.001021
2	8	14	0.000912
2	9	1	0.000910
2	10	29	0.000905
2	11	17	0.000854
2	12	37	0.000719
2	13	19	0.000450
2	14	36	0.000292
3	1	22	0.003982
3	2	34	0.003120
3	3	28	0.002231
3	4	33	0.002219
3	5	35	0.001750
3	6	11	0.001747
3	7	27	0.001553
3	8	8	0.000970
3	9	2	0.000821
3	10	20	0.000802
3	11	24	0.000511
3	12	3	0.000456
3	13	36	0.000356
3	14	12	0.000346
3	15	13	0.000340
4	1	31	0.038388
4	2	35	0.006296
4	3	30	0.006271
4	4	27	0.005585
4	5	7	0.001671
4	6	13	0.001222
5	1	8	0.006085
5	2	18	0.002967
5	3	32	0.002948
5	4	10	0.002848
